,course_name,course_rating,earn_skills,course_link,institution,metadata
10,IBM DevOps and Software Engineering,4.8,"Skills you'll gain: DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Product Management, Technical Product Management, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",https://www.coursera.org/professional-certificates/devops-and-software-engineering,IBM,Beginner Professional Certificate 3 - 6 Months
11,Data Science Fundamentals with Python and SQL,4.8,"Skills you'll gain: Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Analysis Software, Data Visualization, Data Science, Probability Distribution, R Programming, Data Management, Database Administration, Database Application, Databases, SQL, Cloud Computing, IBM Cloud",https://www.coursera.org/specializations/data-science-fundamentals-python-sql,IBM,Beginner Specialization 3 - 6 Months
12,IBM Applied AI,4.6,"Skills you'll gain: Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Applied Machine Learning, Natural Language Processing, Algorithms, Cloud API, Machine Learning Software, Human Computer Interaction, Computer Programming, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Critical Thinking, Software As A Service, Data Science",https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,IBM,Beginner Professional Certificate 3 - 6 Months
13,IBM Full Stack Software Developer,4.6,"Skills you'll gain: Cloud Computing, Python Programming, Cloud Applications, IBM Cloud, Application Development, Computer Programming, Cloud Infrastructure, DevOps, Web Development, Cloud Platforms, Javascript, Cloud Management, Software Engineering, Software Architecture, Cloud API, Cloud-Based Integration, Full-Stack Web Development, Cloud Storage, Continuous Delivery, Continuous Integration, Software As A Service, Microarchitecture, Django (Web Framework), Database Application, Databases, Docker (Software), Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,IBM,Beginner Professional Certificate 3 - 6 Months
14,Key Technologies for Business,4.6,"Skills you'll gain: Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Critical Thinking, Big Data, Data Analysis, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing",https://www.coursera.org/specializations/key-technologies-for-business,IBM,Beginner Specialization 3 - 6 Months
15,IBM Data Engineering,4.6,"Skills you'll gain: Data Management, Databases, Database Administration, Extract, Transform, Load, SQL, Big Data, Apache, Python Programming, Database Design, Database Application, Data Structures, Data Architecture, Distributed Computing Architecture, NoSQL, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, Cloud Storage, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Data Analysis Software, Leadership and Management, PostgreSQL, Kubernetes, Operational Analysis, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",https://www.coursera.org/professional-certificates/ibm-data-engineer,IBM,Beginner Professional Certificate 3 - 6 Months
16,IBM & Darden Digital Strategy,4.6,"Skills you'll gain: Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Critical Thinking, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",https://www.coursera.org/specializations/digital-strategy,IBM,Beginner Specialization 3 - 6 Months
17,Data Engineering Foundations,4.6,"Skills you'll gain: Data Management, Python Programming, Databases, Data Structures, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Data Analysis Software, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",https://www.coursera.org/specializations/data-engineering-foundations,IBM,Beginner Specialization 3 - 6 Months
18,Applied Data Science,4.6,"Skills you'll gain: Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression",https://www.coursera.org/specializations/applied-data-science,IBM,Beginner Specialization 3 - 6 Months
19,IBM Data Analytics with Excel and R,4.6,"Skills you'll gain: Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Database Administration, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Visual Design, Business Analysis, Statistical Tests, Python Programming, Data Science, NoSQL",https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,IBM,Beginner Professional Certificate 3 - 6 Months
20,IBM AI Foundations for Business,4.6,"Skills you'll gain: Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Critical Thinking, Business Analysis, Business Transformation, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",https://www.coursera.org/specializations/ibm-ai-foundations-for-business,IBM,Beginner Specialization 1 - 3 Months
21,IBM Back-End Development,4.6,"Skills you'll gain: Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Cloud Computing, Security Engineering, Programming Principles, Web Development, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Cloud Platforms, Data Management, Database Application, Databases, Docker (Software), Linux, Product Management, SQL, Technical Product Management, Collaboration, Django (Web Framework), Leadership and Management, Data Analysis, Mergers & Acquisitions",https://www.coursera.org/professional-certificates/ibm-backend-development,IBM,Beginner Professional Certificate 3 - 6 Months
22,Data Analysis and Visualization Foundations,4.6,"Skills you'll gain: Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Databases, Python Programming, SQL, Statistical Visualization, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",https://www.coursera.org/specializations/data-analysis-visualization-foundations,IBM,Beginner Specialization 3 - 6 Months
23,Applied Software Engineering Fundamentals,4.6,"Skills you'll gain: Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Product Management, Technical Product Management, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",https://www.coursera.org/specializations/software-engineering-fundamentals,IBM,Beginner Specialization 3 - 6 Months
24,Deep Learning,4.8,"Skills you'll gain: Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",https://www.coursera.org/specializations/deep-learning,DeepLearning.AI,Intermediate Specialization 3 - 6 Months
25,AI Foundations for Everyone,4.8,"Skills you'll gain: Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Critical Thinking, Cloud API, Computer Programming, Data Science",https://www.coursera.org/specializations/ai-foundations-for-everyone,IBM,Beginner Specialization 3 - 6 Months
26,Prompt Engineering,4.8,"Skills you'll gain: Creativity, Data Analysis, Problem Solving, Writing",https://www.coursera.org/specializations/prompt-engineering,Vanderbilt University,Beginner Specialization 1 - 3 Months
27,Google Advanced Data Analytics,4.8,"Skills you'll gain: Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",https://www.coursera.org/professional-certificates/google-advanced-data-analytics,Google,Advanced Professional Certificate 3 - 6 Months
28,Cloud Application Development Foundations,4.8,"Skills you'll gain: Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Continuous Integration, Cloud Storage, Software As A Service, Continuous Delivery, Software Engineering, NoSQL, Computer Science, Front-End Web Development, React (web framework)",https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,IBM,Beginner Specialization 3 - 6 Months
29,IBM Business Intelligence (BI) Analyst,4.8,"Skills you'll gain: Data Management, Databases, SQL, Data Visualization, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Data Architecture, Database Theory, Spreadsheet Software, Data Model, Data Warehousing, Python Programming, Computer Programming, Data Analysis, Data Analysis Software, NoSQL, PostgreSQL, Plot (Graphics), Business Analysis, Statistical Visualization, Data Mining, Data Science, Data Visualization Software, R Programming, Tableau Software, Business Intelligence, Forecasting, Interactive Data Visualization, Statistical Analysis",https://www.coursera.org/professional-certificates/bi-analyst,IBM,Beginner Professional Certificate 3 - 6 Months
30,"DevOps, Cloud, and Agile Foundations",4.8,"Skills you'll gain: DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,IBM,Beginner Specialization 3 - 6 Months
31,IBM and ISC2 Cybersecurity Specialist,4.8,"Skills you'll gain: Computer Security Incident Management, Risk Management, Cloud Computing, System Security, Computer Networking, Cloud Storage, Operating Systems, Leadership and Management, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Operations Management, Software Engineering",https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist,Multiple educators,Beginner Professional Certificate 3 - 6 Months
32,Generative AI with Large Language Models,4.8,"Skills you'll gain: Machine Learning, Natural Language Processing, Python Programming",https://www.coursera.org/learn/generative-ai-with-llms,DeepLearning.AI,Intermediate Course 1 - 4 Weeks
33,Microsoft Power BI Data Analyst,4.8,"Skills you'll gain: Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL",https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,Microsoft,Beginner Professional Certificate 3 - 6 Months
34,IBM IT Support,4.8,"Skills you'll gain: Cloud Computing, Computer Networking, Cloud Storage, Customer Success, Operating Systems, Leadership and Management, System Security, Strategy and Operations, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Communication, Computer Programming, Cyberattacks, Customer Support, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering",https://www.coursera.org/professional-certificates/ibm-technical-support,IBM,Beginner Professional Certificate 3 - 6 Months
35,Meta Front-End Developer,4.8,"Skills you'll gain: HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing",https://www.coursera.org/professional-certificates/meta-front-end-developer,Meta,Beginner Professional Certificate 3 - 6 Months
36,Foundations of Project Management,4.9,"Skills you'll gain: Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning",https://www.coursera.org/learn/project-management-foundations,Google,Beginner Course 1 - 4 Weeks
37,Information Technology (IT) and Cloud Fundamentals,4.9,"Skills you'll gain: Cloud Computing, Computer Networking, Cloud Storage, Operating Systems, System Security, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cyberattacks, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering",https://www.coursera.org/specializations/it-cloud-fundamentals,IBM,Beginner Specialization 3 - 6 Months
38,IBM Data Warehouse Engineer,4.9,"Skills you'll gain: Data Management, Database Administration, Databases, SQL, Database Application, Extract, Transform, Load, Data Warehousing, Data Structures, Database Design, Data Engineering, Computer Programming, Data Analysis, Data Architecture, Database Theory, Apache, Python Programming, Leadership and Management, Big Data, Data Model, Data Analysis Software, Distributed Computing Architecture, PostgreSQL, Operational Analysis, Cloud Computing, Linux, IBM Cloud, Network Security, NoSQL, Business Intelligence, Data Science",https://www.coursera.org/professional-certificates/data-warehouse-engineering,IBM,Beginner Professional Certificate 3 - 6 Months
39,Google IT Automation with Python,4.9,"Skills you'll gain: Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming",https://www.coursera.org/professional-certificates/google-it-automation,Google,Beginner Professional Certificate 3 - 6 Months
40,"BI Foundations with SQL, ETL and Data Warehousing",4.9,"Skills you'll gain: Data Management, Extract, Transform, Load, Data Warehousing, Database Administration, Apache, Computer Programming, Python Programming, Data Analysis, Data Structures, Databases, Big Data, Database Application, Distributed Computing Architecture, Cloud Computing, Data Analysis Software, Linux, Operational Analysis, SQL, Business Intelligence, IBM Cloud",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,IBM,Beginner Specialization 3 - 6 Months
41,IBM AI Engineering,4.9,"Skills you'll gain: Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Statistical Machine Learning, Computer Vision, Apache, Big Data, Mathematical Theory & Analysis, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Data Science",https://www.coursera.org/professional-certificates/ai-engineer,IBM,Intermediate Professional Certificate 3 - 6 Months
42,IBM IT Project Manager,4.9,"Skills you'll gain: Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Product Management, Scrum (Software Development), Technical Product Management, Leadership and Management, Project Management, Business Analysis, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management",https://www.coursera.org/professional-certificates/ibm-it-project-manager,SkillUp EdTech,Beginner Professional Certificate 3 - 6 Months
43,Foundations of Cybersecurity,4.9,"Skills you'll gain: Linux, Computer Programming, Leadership and Management, SQL",https://www.coursera.org/learn/foundations-of-cybersecurity,Google,Beginner Course 1 - 4 Weeks
44,IBM Full-Stack JavaScript Developer,4.9,"Skills you'll gain: Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Cloud Platforms, Continuous Delivery, Docker (Software), Front-End Web Development, Leadership and Management, Product Management, Technical Product Management, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)",https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,IBM,Beginner Professional Certificate 3 - 6 Months
45,Supervised Machine Learning: Regression and Classification,4.9,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",https://www.coursera.org/learn/machine-learning,DeepLearning.AI,Beginner Course 1 - 4 Weeks
46,Meta Social Media Marketing,4.9,"Skills you'll gain: Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Creativity, Planning, Entrepreneurship",https://www.coursera.org/professional-certificates/facebook-social-media-marketing,Meta,Beginner Professional Certificate 3 - 6 Months
47,"Foundations: Data, Data, Everywhere",4.9,"Skills you'll gain: Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel",https://www.coursera.org/learn/foundations-data,Google,Beginner Course 1 - 3 Months
48,AI in Healthcare,4.7,"Skills you'll gain: Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",https://www.coursera.org/specializations/ai-healthcare,Stanford University,Beginner Specialization 3 - 6 Months
49,IBM Cybersecurity Analyst,4.7,"Skills you'll gain: Cryptography, Python Programming, Linux, Network Security, Security Strategy, Software Security, System Software, Computer Security Incident Management, Networking Hardware, Security Software, Cloud Computing, Cyberattacks, DevOps, Mobile Security, Computer Programming, Databases, Leadership and Management, Operating Systems, SQL, System Security",https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,IBM,Beginner Professional Certificate 3 - 6 Months
50,Business Foundations,4.7,"Skills you'll gain: Accounting, Finance, General Accounting, Decision Making, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Customer Relationship Management, Data Analysis, Marketing Management, Change Management, Organizational Development, People Management, Talent Management, Planning, Operations Management",https://www.coursera.org/specializations/wharton-business-foundations,University of Pennsylvania,Beginner Specialization 3 - 6 Months
51,AI For Everyone,4.7,"Skills you'll gain: Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management",https://www.coursera.org/learn/ai-for-everyone,DeepLearning.AI,Beginner Course 1 - 4 Weeks
52,Generative AI Fundamentals,4.7,"Skills you'll gain: Business Transformation, Machine Learning, Natural Language Processing",https://www.coursera.org/specializations/generative-ai-for-everyone,IBM,Beginner Specialization 3 - 6 Months
53,IBM IT Scrum Master,4.7,"Skills you'll gain: DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Product Management, Scrum (Software Development), Technical Product Management, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming",https://www.coursera.org/professional-certificates/ibm-it-scrum-master,SkillUp EdTech,Beginner Professional Certificate 3 - 6 Months
54,IBM Front-End Developer,4.7,"Skills you'll gain: Cloud Applications, Software Engineering, Computer Programming, Application Development, Cloud Computing, IBM Cloud, Programming Principles, Software Engineering Tools, Web Development, Agile Software Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Communication, DevOps, Software Architecture, Continuous Integration, Software As A Service, Continuous Delivery, Front-End Web Development, Leadership and Management, Product Management, Technical Product Management, Collaboration, Javascript, NoSQL, Mergers & Acquisitions, Python Programming, React (web framework), Search Engine Optimization, Strategy",https://www.coursera.org/professional-certificates/ibm-frontend-developer,IBM,Beginner Professional Certificate 3 - 6 Months
55,Intuit Academy Bookkeeping,4.7,"Skills you'll gain: Accounting, General Accounting, Financial Accounting, Business Analysis, Data Analysis, Financial Analysis, Cash Management, Finance, Financial Management, Accounts Payable and Receivable, Cost Accounting, Inventory Management, Accounting Software, Taxes",https://www.coursera.org/professional-certificates/intuit-bookkeeping,Intuit,Beginner Professional Certificate 3 - 6 Months
56,Mathematics for Machine Learning and Data Science,4.7,"Skills you'll gain: Mathematics, Algebra, Linear Algebra, Machine Learning, Machine Learning Algorithms, Calculus, Differential Equations, Regression, Artificial Neural Networks, Mathematical Theory & Analysis, Python Programming, Algorithms, Critical Thinking, Dimensionality Reduction, General Statistics, Probability & Statistics, Statistical Analysis",https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,DeepLearning.AI,Beginner Specialization 1 - 3 Months
57,Generative AI for Data Scientists,4.7,"Skills you'll gain: Data Analysis, Data Science, Natural Language Processing",https://www.coursera.org/specializations/generative-ai-for-data-scientists,IBM,Intermediate Specialization 1 - 3 Months
58,Python for Everybody,4.7,"Skills you'll gain: Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Data Analysis, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Architecture, Data Management, Database Application, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Network Architecture, Web Development, Web Development Tools, Computer Networking, SQL, HTML and CSS",https://www.coursera.org/specializations/python,University of Michigan,Beginner Specialization 3 - 6 Months
59,Generative AI for Everyone,4.7,"Skills you'll gain: Strategy, Writing",https://www.coursera.org/learn/generative-ai-for-everyone,DeepLearning.AI,Beginner Course 1 - 4 Weeks
60,IBM Back-end JavaScript Developer,4.5,"Skills you'll gain: Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Cloud Platforms, Continuous Delivery, Docker (Software), Leadership and Management, Product Management, Technical Product Management, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming",https://www.coursera.org/professional-certificates/backend-javascript-developer,IBM,Beginner Professional Certificate 3 - 6 Months
61,Generative AI for Software Developers,4.5,"Skills you'll gain: Natural Language Processing, Software Engineering",https://www.coursera.org/specializations/generative-ai-for-software-developers,IBM,Intermediate Specialization 1 - 3 Months
62,IBM Generative AI for Cybersecurity Professionals,4.5,Skills you'll gain: Natural Language Processing,https://www.coursera.org/specializations/generative-ai-for-cybersecurity-professionals,IBM,Intermediate Specialization 1 - 3 Months
63,Generative AI for Data Analysts,4.5,"Skills you'll gain: Data Analysis, Natural Language Processing",https://www.coursera.org/specializations/generative-ai-for-data-analysts,IBM,Intermediate Specialization 1 - 3 Months
